Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
101,Chris Chiozza\chiozch01,PG,24,WAS,10,123,9.3,.397,.471,.000,0.0,13.9,6.7,28.4,3.8,1.4,20.9,14.5,,-0.1,0.1,0.0,-0.009,,-4.0,-0.4,-4.4,-0.1
102,Marquese Chriss\chrisma01,PF,22,GSW,44,795,18.1,.584,.106,.431,10.5,21.5,15.8,15.5,1.7,4.3,16.5,18.8,,1.1,0.9,1.9,.117,,-1.2,2.1,0.9,0.6
103,Gary Clark\clarkga01,PF,25,ORL,5,69,13.1,.625,.688,.000,11.8,15.9,13.8,0.0,0.0,2.6,11.1,11.3,,0.1,0.1,0.2,.114,,-2.4,-3.7,-6.0,-0.1
104,Gary Clark\clarkga01,PF,25,TOT,23,281,12.2,.576,.827,.093,6.9,14.6,10.8,5.7,0.3,2.8,4.9,12.1,,0.5,0.2,0.7,.124,,-0.4,-1.8,-2.2,0.0
105,Gary Clark\clarkga01,PF,25,HOU,18,212,11.9,.564,.864,.119,5.4,14.2,9.8,7.6,0.4,2.8,3.1,12.4,,0.4,0.2,0.6,.128,,0.2,-1.1,-0.9,0.1
106,Brandon Clarke\clarkbr01,PF,23,MEM,42,912,21.9,.679,.132,.228,6.6,21.5,14.2,10.3,1.1,3.4,9.4,19.0,,2.7,0.9,3.5,.187,,1.9,0.6,2.5,1.0
107,Jordan Clarkson\clarkjo01,SG,27,UTA,18,459,16.3,.561,.482,.164,3.0,7.9,5.6,9.3,1.4,0.9,6.9,24.8,,0.5,0.5,1.0,.107,,1.4,-1.8,-0.4,0.2
108,Jordan Clarkson\clarkjo01,SG,27,CLE,29,666,19.0,.581,.488,.264,3.5,8.0,5.7,17.3,1.2,1.0,9.7,25.8,,1.5,0.1,1.5,.111,,3.2,-3.5,-0.3,0.3
109,Jordan Clarkson\clarkjo01,SG,27,TOT,47,1125,17.9,.573,.486,.223,3.3,8.0,5.7,14.0,1.3,1.0,8.6,25.4,,2.0,0.6,2.6,.110,,2.5,-2.8,-0.3,0.5
110,Nicolas Claxton\claxtni01,PF,20,BRK,14,183,14.6,.570,.152,.413,10.9,13.2,12.1,12.9,0.3,3.6,14.2,14.5,,0.3,0.2,0.4,.115,,-1.6,1.0,-0.6,0.1
111,Chris Clemons\clemoch01,SG,22,HOU,26,231,13.6,.566,.769,.043,0.9,8.5,4.7,12.7,1.2,1.8,11.8,24.0,,0.1,0.2,0.3,.064,,0.0,-3.7,-3.7,-0.1
112,Antonius Cleveland\clevean01,SG,25,DAL,3,14,7.4,.667,.333,.000,0.0,22.0,11.2,0.0,0.0,0.0,25.0,12.2,,0.0,0.0,0.0,-0.005,,-6.9,-4.7,-11.6,0.0
113,Amir Coffey\coffeam01,SG,22,LAC,2,5,35.7,.833,.667,.000,0.0,0.0,0.0,43.4,0.0,0.0,0.0,24.7,,0.0,0.0,0.0,.443,,14.7,-12.5,2.2,0.0
114,John Collins\collijo01,PF,22,ATL,23,700,21.9,.620,.265,.198,8.5,27.7,18.0,6.7,1.1,5.0,10.0,23.1,,1.4,0.8,2.2,.148,,0.4,0.2,0.6,0.5
115,Zach Collins\colliza01,PF,22,POR,3,86,9.0,.624,.368,.316,4.8,9.4,7.2,9.2,0.0,2.0,21.7,13.6,,0.1,0.0,0.1,.048,,-1.8,-1.5,-3.3,0.0
116,Mike Conley\conlemi01,PG,32,UTA,28,764,11.8,.494,.415,.274,2.4,9.1,5.9,22.0,1.2,0.4,12.9,23.4,,0.1,0.8,0.9,.055,,-0.9,-1.0,-2.0,0.0
117,Pat Connaughton\connapa01,SG,27,MIL,44,781,11.0,.535,.516,.133,4.6,18.5,12.0,11.3,0.8,2.6,15.0,12.4,,0.5,1.4,1.9,.116,,-2.1,2.2,0.1,0.4
118,Quinn Cook\cookqu01,PG,26,LAL,31,374,11.1,.525,.364,.058,1.8,8.8,5.4,14.1,1.3,0.2,12.2,20.4,,0.0,0.4,0.4,.050,,-2.3,-2.3,-4.6,-0.3
119,Tyler Cook\cookty01,PF,22,CLE,11,35,24.2,.752,.000,.600,12.5,19.0,15.8,4.6,1.4,0.0,7.3,16.6,,0.2,0.0,0.2,.247,,2.5,-3.2,-0.7,0.0
120,Robert Covington\covinro01,PF,29,MIN,46,1346,13.6,.573,.631,.186,2.5,19.3,10.6,6.0,2.6,2.6,12.0,17.9,,0.6,1.8,2.4,.087,,-0.7,1.3,0.6,0.9
